fighter,rating
Jon Jones,1354.46
Georges St-Pierre,1313.66
Islam Makhachev,1307.06
Khabib Nurmagomedov,1254.88
Belal Muhammad,1244.17
Charles Oliveira,1242.88
Leon Edwards,1235.68
Francis Ngannou,1233.94
Max Holloway,1230.64
Amanda Nunes,1223.48
Dricus Du Plessis,1214.11
Demetrious Johnson,1213.98
Kamaru Usman,1212.4
Merab Dvalishvili,1205.74
Dustin Poirier,1205.14
Aljamain Sterling,1199.45
Stipe Miocic,1198.63
Alexander Volkanovski,1197.64
Alex Pereira,1195.58
Magomed Ankalaev,1194.64
Ilia Topuria,1192.38
Daniel Cormier,1192.17
Khamzat Chimaev,1190.61
Ciryl Gane,1189.57
Valentina Shevchenko,1185.39
Alexandre Pantoja,1185.39
Robert Whittaker,1185.05
Grant Dawson,1181.34
Movsar Evloev,1179.19
Shavkat Rakhmonov,1176.37
Zhang Weili,1175.88
Royce Gracie,1175.75
Ryan Bader,1174.06
Deiveson Figueiredo,1172.84
Tom Aspinall,1169.95
Arman Tsarukyan,1168.61
Beneil Dariush,1168.34
Vicente Luque,1167.54
Brendan Allen,1165.49
Sean O'Malley,1164.98
Glover Teixeira,1164.07
Cain Velasquez,1163.66
Jon Fitch,1162.15
Arnold Allen,1161.78
TJ Dillashaw,1161.62
Joaquin Buckley,1161.5
Jack Della Maddalena,1158.74
Curtis Blaydes,1157.76
Alexander Volkov,1154.33
Gegard Mousasi,1154.26
Anthony Johnson,1152.8
Nassourdine Imavov,1152.69
Benson Henderson,1151.86
Don Frye,1151.03
Jailton Almeida,1150.77
Sean Strickland,1150.31
Michael Bisping,1150.14
Demian Maia,1147.93
Henry Cejudo,1147.65
Cory Sandhagen,1147.37
Colby Covington,1147.28
Manon Fiorot,1144.7
Jan Blachowicz,1143.06
Mario Bautista,1142.46
Israel Adesanya,1142.32
Francisco Trinaldo,1141.2
Lerone Murphy,1140.47
Petr Yan,1140.1
Justin Gaethje,1139.5
Caio Borralho,1138.69
Ian Machado Garry,1138.65
Conor McGregor,1138.31
John Lineker,1137.51
Maycee Barber,1137.44
Sean Brady,1137.36
Dan Hooker,1136.56
Renato Moicano,1134.73
Randy Brown,1134.32
Muhammad Mokaev,1133.43
Song Yadong,1133.31
Dong Hyun Kim,1131.59
Erin Blanchfield,1131.43
Josh Emmett,1130.39
Lyoto Machida,1129.43
Matt Hughes,1128.47
Carlos Ulberg,1128.16
Paddy Pimblett,1128.14
Gilbert Burns,1128.13
Jose Aldo,1128.08
Marlon Vera,1127.38
Raquel Pennington,1127.18
Fabricio Werdum,1126.84
Michael Chiesa,1126.23
Rustam Khabilov,1125.49
Brandon Moreno,1125.36
Gregor Gillespie,1124.92
Montel Jackson,1124.35
Tatiana Suarez,1124.19
Yair Rodriguez,1124.0
Kenny Florian,1123.68
Randy Couture,1123.36
Derek Brunson,1122.32
Bryan Battle,1122.01
Derrick Lewis,1121.87
Michel Pereira,1121.76
TJ Grant,1120.87
Norma Dumont,1120.29
Yoel Romero,1119.34
Elizeu Zaleski dos Santos,1118.8
Anthony Hernandez,1118.24
Zabit Magomedsharipov,1118.06
Nate Diaz,1117.47
Natalia Silva,1117.47
Rose Namajunas,1117.38
Jared Cannonier,1116.99
Michael Morales,1116.55
Joel Alvarez,1116.12
Joseph Benavidez,1115.9
Sergei Pavlovich,1114.87
Giga Chikadze,1114.35
Brian Ortega,1114.3
Umar Nurmagomedov,1114.25
Jim Miller,1114.03
Mateusz Gamrot,1113.58
Gunnar Nelson,1113.15
Chris Gutierrez,1112.74
Julianna Pena,1112.43
Zak Cummings,1111.31
Roman Dolidze,1111.22
Phil Davis,1111.06
Diego Lopes,1110.59
Sean Woodson,1108.86
Yan Xiaonan,1108.69
Geoff Neal,1107.62
Neil Magny,1107.19
James Krause,1107.04
Frank Shamrock,1106.91
Jake Matthews,1106.78
Alistair Overeem,1106.64
Kyoji Horiguchi,1106.33
Marcin Tybura,1106.13
Brandon Royval,1105.3
Anthony Pettis,1104.86
Tyron Woodley,1104.79
Jack Hermansson,1104.52
Drakkar Klose,1104.5
Rinat Fakhretdinov,1104.01
Anderson Silva,1103.72
Bryce Mitchell,1103.72
Rob Font,1103.61
Rory MacDonald,1103.55
Virna Jandiroba,1102.71
Darren Elkins,1102.35
Nikita Krylov,1102.35
Rich Franklin,1102.27
Carlos Prates,1101.76
Marvin Vettori,1101.08
Robbie Lawler,1100.64
Nasrat Haqparast,1100.2
Chuck Liddell,1099.97
Fares Ziam,1099.23
Forrest Griffin,1099.16
Vitor Belfort,1098.46
Gillian Robertson,1098.39
Josh Barnett,1098.07
Jasmine Jasudavicius,1097.97
Jonathan Martinez,1097.77
Andre Petroski,1097.72
Cristiane Justino,1097.7
Mairbek Taisumov,1097.66
Jiri Prochazka,1097.61
Ludovit Klein,1097.54
Rick Story,1097.05
Jessica Andrade,1096.99
Tatsuro Taira,1096.4
Ricardo Lamas,1096.21
Alexa Grasso,1096.11
Chas Skelly,1095.79
Tim Sylvia,1095.21
Miranda Maverick,1095.12
Dominick Cruz,1094.8
Santiago Ponzinibbio,1094.76
Muslim Salikhov,1094.41
Matt Lindland,1093.83
Shane Burgos,1093.79
Pat Miletich,1093.57
Dan Severn,1093.45
Dominick Reyes,1093.25
Rafael Dos Anjos,1093.24
Thiago Silva,1092.17
Azamat Murzakanov,1091.59
Elias Theodorou,1091.56
Diego Ferreira,1090.88
Steve Garcia,1090.84
Corey Anderson,1090.49
Erik Perez,1090.45
Michel Prazeres,1090.36
Anthony Rocco Martin,1090.18
Mackenzie Dern,1089.59
Oleg Taktarov,1089.09
Macy Chiasson,1089.07
Chad Mendes,1088.9
Edson Barboza,1088.65
Frankie Edgar,1088.29
JunYong Park,1087.66
Germaine de Randamie,1087.05
Jorge Masvidal,1086.5
Nathaniel Wood,1086.26
Rashid Magomedov,1085.56
Kelvin Gastelum,1085.49
John Hathaway,1085.03
Yushin Okami,1085.02
Mark Kerr,1084.87
Junior Dos Santos,1084.73
Urijah Faber,1084.71
Sean Sherk,1084.58
Daniel Marcos,1083.98
Andre Muniz,1083.88
Aiemann Zahabi,1083.86
Katlyn Cerminara,1083.54
Cub Swanson,1083.22
Marcus McGhee,1083.21
Stephen Thompson,1083.2
Chepe Mariscal,1082.96
William Gomis,1082.63
Amanda Lemos,1082.36
Martin Kampmann,1082.19
Youssef Zalal,1081.97
Paul Felder,1081.41
Tagir Ulanbekov,1081.4
Said Nurmagomedov,1081.21
Asu Almabayev,1081.0
Bo Nickal,1080.95
Omari Akhmedov,1080.65
Chan Sung Jung,1080.59
Amir Albazi,1080.58
Farid Basharat,1080.37
Matt Hamill,1080.36
David Teymur,1080.25
Jairzinho Rozenstruik,1080.11
Rani Yahya,1080.01
Serghei Spivac,1079.86
Chase Hooper,1079.69
Daniel Rodriguez,1079.13
Carla Esparza,1079.12
Jordan Johnson,1079.1
Gregory Rodrigues,1079.01
Ryan Hall,1078.82
Khalil Rountree Jr.,1078.4
Thales Leites,1078.33
Pedro Rizzo,1077.88
Mick Parkin,1077.72
Kyler Phillips,1077.69
Joanderson Brito,1077.58
Marcos Rogerio de Lima,1077.54
Rousimar Palhares,1077.07
Nicolas Dalby,1076.38
Ronda Rousey,1075.93
Ailin Perez,1075.85
Krzysztof Jotko,1075.68
Mike Pierce,1075.61
Quinton Jackson,1075.44
Jacqueline Cavalcanti,1075.41
Rafael Fiziev,1074.67
Alan Belcher,1074.38
Tracy Cortez,1074.16
Cheick Kongo,1074.1
Roman Kopylov,1073.94
Kai Kara-France,1073.88
Jamahal Hill,1073.76
Roger Huerta,1073.66
Gabriel Bonfim,1073.57
Ignacio Bahamondes,1073.2
Taylor Lapilus,1072.4
Thiago Santos,1072.19
Alexandr Romanov,1072.13
Uriah Hall,1071.4
Dennis Siver,1071.0
Waldo Cortes-Acosta,1071.0
Nate Quarry,1070.83
Li Jingliang,1070.74
King Green,1070.58
Jean Silva,1070.23
Vinicius Oliveira,1069.96
Loma Lookboonmee,1069.63
Sage Northcutt,1069.55
Johny Hendricks,1069.29
Chris Weidman,1068.85
Pat Sabatini,1068.75
Rashad Evans,1068.44
Ryan LaFlare,1068.42
Jared Rosholt,1068.19
Irene Aldana,1067.91
Joe Pyfer,1067.8
Khaos Williams,1067.79
Al Iaquinta,1067.63
Cody Garbrandt,1067.08
Sergio Pettis,1067.07
Joshua Van,1066.89
Matt Brown,1066.7
David Onama,1066.45
Raoni Barcelos,1066.29
Mike Swick,1066.26
Nazim Sadykhov,1066.23
Mike Malott,1065.91
Joanna Jedrzejczyk,1065.9
Iasmin Lucindo,1065.51
Ketlen Vieira,1064.87
Kevin Lee,1064.65
Myles Jury,1064.61
Brett Johns,1063.69
Paulo Costa,1063.67
Martin Buday,1063.61
Ricky Simon,1063.57
Mateusz Rebecki,1062.77
Matthew Riddle,1062.75
Mark Bocek,1062.59
Chris Lytle,1062.17
Chael Sonnen,1062.11
Matt Mitrione,1061.85
Karine Silva,1061.63
Alex Caceres,1061.54
Raul Rosas Jr.,1061.52
Tabatha Ricci,1061.5
Benoit Saint Denis,1061.45
Jimmie Rivera,1061.37
Diego Sanchez,1061.27
Anthony Smith,1061.24
Ricco Rodriguez,1060.9
Ruslan Magomedov,1060.85
Jens Pulver,1060.81
Sodiq Yusuff,1060.23
Jalin Turner,1060.18
Lauren Murphy,1059.66
Shara Magomedov,1059.34
Manel Kape,1059.02
Oban Elliott,1058.97
Karo Parisyan,1058.84
Christian Rodriguez,1058.72
Kennedy Nzechukwu,1058.28
Dustin Ortiz,1058.01
Alex Morono,1057.9
Donald Cerrone,1057.89
Luke Rockhold,1057.83
Alonzo Menifield,1057.54
Volkan Oezdemir,1057.44
Drew Dober,1057.43
Leonardo Santos,1057.32
Alatengheili,1057.2
Jeff Molina,1057.09
Justin Willis,1056.89
Andre Lima,1056.8
John Dodson,1056.55
Muhammad Naimov,1056.34
Nate Maness,1056.3
Eddie Alvarez,1055.96
Murilo Bustamante,1055.83
Dan Hardy,1055.66
Thiago Moises,1055.39
Jerry Bohlander,1055.31
Evan Tanner,1055.26
Ryan Spann,1055.05
Nik Lentz,1055.01
Guy Mezger,1054.85
Alejandro Perez,1054.78
Shane Carwin,1054.67
Adrian Yanez,1054.44
Jacare Souza,1054.37
Michael McDonald,1054.3
Dan Ige,1054.18
Damir Ismagulov,1053.87
Reinier de Ridder,1053.77
Mark Munoz,1053.75
Tecia Pennington,1053.72
James Vick,1053.53
Jaqueline Amorim,1053.14
Patrick Smith,1053.03
Tony Ferguson,1052.94
Raphael Assuncao,1052.77
Alan Jouban,1052.72
Stevie Ray,1052.44
Chris Wade,1052.32
Renato Sobral,1052.15
Vinc Pichel,1051.84
Shawn Jordan,1051.76
Charles Johnson,1051.5
Dooho Choi,1051.42
Dustin Jacoby,1051.24
Jussier Formiga,1051.14
Casey O'Neill,1050.9
Kevin Holland,1050.6
Kayla Harrison,1050.41
Laverne Clark,1050.25
Thiago Tavares,1049.79
Felipe Lima,1049.78
Bogdan Guskov,1049.55
Tito Ortiz,1049.33
Aleksandar Rakic,1049.27
Francis Carmont,1049.06
Frank Mir,1049.02
Shamil Gaziev,1048.73
Alex Perez,1048.64
Kyung Ho Kang,1048.63
Sergio Moraes,1048.52
Denise Gomes,1048.15
Askar Askarov,1048.06
Jared Gordon,1048.0
Kurt Pellegrino,1047.94
Viviane Araujo,1047.76
Lorenz Larkin,1047.69
Esteban Ribovics,1047.4
Alexander Gustafsson,1047.34
John Moraga,1047.26
Ilir Latifi,1047.21
Claudia Gadelha,1046.84
Brad Tavares,1046.71
Jon Madsen,1046.58
Miles Johns,1046.55
Stephan Bonnar,1046.49
Ray Borg,1046.32
Dean Lister,1046.3
Brady Hiestand,1046.02
Bryan Caraway,1045.77
Philipe Lins,1045.6
Casey Kenney,1045.53
Mike Davis,1045.48
Bas Rutten,1045.44
Ben Rothwell,1045.37
Sean Pierson,1045.33
Johnny Walker,1045.07
Adlan Amagov,1044.86
Julian Erosa,1044.68
Joel Sutton,1044.48
Zhang Mingyang,1044.48
Rodolfo Vieira,1044.39
Andre Fili,1044.28
Aaron Simpson,1044.19
Hyder Amil,1043.45
Payton Talbott,1043.43
Cesar Almeida,1043.35
Phillip Miller,1043.18
Chris Padilla,1043.15
Alberto Mina,1043.09
Enrique Barzola,1043.01
Michael Graves,1042.93
Julio Arce,1042.81
Marco Ruas,1042.68
Oumar Sy,1042.58
Chris Holdsworth,1042.54
Jean Matsumoto,1042.47
Luana Carolina,1042.18
Abel Trujillo,1042.16
Jack Shore,1041.98
Davey Grant,1041.95
Gerald Meerschaert,1041.82
Danny Barlow,1041.7
Don Madge,1041.68
Brock Lesnar,1041.67
Charlie Campbell,1041.57
Edimilson Souza,1041.48
Dan Henderson,1041.42
HyunSung Park,1041.42
Jeremiah Wells,1041.4
Trey Waters,1041.25
Desmond Green,1041.15
Jake Shields,1041.06
Claude Patrick,1040.92
Ibo Aslan,1040.91
Gerald Harris,1040.88
Nurullo Aliev,1040.73
Krzysztof Soszynski,1040.71
Manuel Torres,1040.65
Eryk Anders,1040.64
Tainara Lisboa,1040.5
Constantinos Philippou,1040.39
Rafael Estevam,1040.32
Alex Hunter,1040.15
Chris Duncan,1039.99
Mauricio Ruffy,1039.85
Darren Till,1039.7
Themba Gorimbo,1039.58
Antonio Carlos Junior,1039.57
Melvin Guillard,1039.42
Tom Breese,1039.3
Marina Rodriguez,1039.28
Calvin Kattar,1039.11
Makhmud Muradov,1039.09
Viscardi Andrade,1039.07
Luis Pena,1039.05
Loopy Godinez,1039.03
Paul Daley,1038.92
Luana Santos,1038.7
Karol Rosa,1038.38
Travis Browne,1038.25
Matheus Nicolau,1038.15
Claudio Puelles,1038.08
Mark Madsen,1038.01
Javid Basharat,1037.99
Charles Radtke,1037.51
Gray Maynard,1037.46
George Sotiropoulos,1037.41
Arjan Bhullar,1037.23
Ronaldo Rodriguez,1037.21
Marcus Davis,1037.03
Albert Tumenov,1036.88
Cezar Ferreira,1036.77
Josh Koscheck,1036.73
Diego Brandao,1036.71
Amanda Ribas,1036.59
Michael Page,1036.57
Edmen Shahbazyan,1036.42
Magnus Cedenblad,1036.26
Vladimir Matyushenko,1036.13
Olivier Aubin-Mercier,1036.06
Chris Curtis,1036.0
Tom Nolan,1035.98
Taila Santos,1035.89
Zubaira Tukhugov,1035.68
Abus Magomedov,1035.66
Ricardo Almeida,1035.24
Patrick Cote,1035.11
Hakeem Dawodu,1035.09
Jordan Mein,1034.99
Iuri Alcantara,1034.96
Jeremy Kennedy,1034.96
Melsik Baghdasaryan,1034.77
Ikram Aliskerov,1034.7
Norman Parke,1034.61
Wilson Gouveia,1034.5
Pedro Munhoz,1034.39
Brian Ebersole,1034.14
Joe Lauzon,1034.12
Claudio Silva,1034.12
Dennis Bermudez,1034.05
JJ Aldrich,1034.05
Terrance McKinney,1034.05
David Terrell,1033.88
Angela Hill,1033.86
Nicolae Negumereanu,1033.59
Davi Ramos,1033.29
Rinya Nakamura,1033.25
Jorge Rivera,1032.93
Jacob Volkmann,1032.82
Holly Holm,1032.79
Ali Bagautinov,1032.33
Jeff Monson,1032.09
Vanessa Demopoulos,1031.75
Maurice Smith,1031.65
Miesha Tate,1031.63
Max Griffin,1031.57
Mike Russow,1031.42
Ricardo Ramos,1031.36
Ramazan Emeev,1031.31
Johnny Case,1031.3
Vitor Petrino,1031.23
Ken Shamrock,1031.2
Daniel Kelly,1031.08
Karl Williams,1031.05
Evan Dunham,1030.07
Tim Kennedy,1030.04
Nursulton Ruziboev,1029.94
Ismail Naurdiev,1029.87
Gleison Tibau,1029.68
Mark Coleman,1029.48
John Castaneda,1029.22
Victor Henry,1028.79
Curtis Millender,1028.64
Carlos Condit,1028.5
Sergey Khandozhko,1028.48
Drew Fickett,1028.37
Douglas Silva de Andrade,1028.36
Nina Nunes,1028.33
Hermes Franca,1028.21
Myktybek Orolbai,1028.03
Jacob Malkoun,1027.97
Cathal Pendred,1027.65
Jafel Filho,1027.34
Adriano Martins,1027.24
Daniel Santos,1027.21
Lucas Martins,1027.13
Kevin Randleman,1026.96
Morgan Charriere,1026.95
CB Dollaway,1026.85
Michael Johnson,1026.8
Charles Jourdain,1026.69
Khalid Murtazaliev,1026.5
Magomed Mustafaev,1026.39
Allan Nascimento,1026.35
John Makdessi,1026.17
Nikolas Motta,1025.9
Mirsad Bektic,1025.87
Sanae Kikuta,1025.84
Melissa Gatto,1025.74
Isaac Dulgarian,1025.74
Sara McMann,1025.73
Tom Lawlor,1025.64
Christian Leroy Duncan,1025.47
Saidyokub Kakhramonov,1025.43
Nate Landwehr,1025.22
Che Mills,1025.17
Todd Duffee,1025.13
Mark Hunt,1025.12
Paul Sass,1025.09
Steve Erceg,1024.83
Ikuhisa Minowa,1024.63
Nora Cornolle,1024.58
Genki Sudo,1024.57
Mark Schultz,1024.52
Lee Murray,1024.41
Brendan Schaub,1024.33
Clayton Carpenter,1024.33
Azamat Bekoev,1024.32
Dmitry Sosnovskiy,1024.23
Jennifer Maia,1024.17
Brian Foster,1024.1
Nick Diaz,1023.98
Jonny Parsons,1023.97
Thiago Alves,1023.8
Aspen Ladd,1023.76
Tallison Teixeira,1023.75
Maiquel Falcao,1023.67
Kenichi Yamamoto,1023.56
Remco Pardoel,1023.48
Mark Hall,1023.47
Matt Serra,1023.31
Jhonata Diniz,1023.13
Carlston Harris,1023.02
Gerard Gordeau,1023.0
Frank Hamaker,1023.0
Jon Hess,1023.0
Onassis Parungao,1023.0
Rafael Carino,1023.0
Justin Martin,1023.0
Enson Inoue,1023.0
Kazushi Sakuraba,1023.0
Cesar Marscucci,1023.0
Tulio Palhares,1023.0
Sione Latu,1023.0
Marcelo Mello,1023.0
Scott Adams,1023.0
Bob Cook,1023.0
Jonathan Wiezorek,1023.0
Tom Murphy,1023.0
Aliaskhab Khizriev,1023.0
Mairon Santos,1023.0
Ryan Loder,1023.0
Nathan Fletcher,1023.0
Shi Ming,1023.0
DongHun Choi,1023.0
Timur Valiev,1022.94
Ramazan Temirov,1022.84
Valter Walker,1022.82
Mikey Burnett,1022.77
Kajan Johnson,1022.71
Nordine Taleb,1022.7
Quillan Salkilld,1022.64
Yanal Ashmouz,1022.59
Caio Magalhaes,1022.48
Punahele Soriano,1022.32
Juan Espino,1022.22
Jacobe Smith,1022.13
Rodolfo Bellato,1022.08
Ed Herman,1022.05
Steve Nelmark,1021.88
Rodrigo Nascimento,1021.77
Ebenezer Fontes Braga,1021.68
Chad Laprise,1021.68
Tim Boetsch,1021.61
Elves Brener,1021.59
Melissa Mullins,1021.57
Eduarda Moura,1021.57
Steve Bosse,1021.49
Danny Silva,1021.43
Steve Jennum,1021.39
Ariane Carnelossi,1021.39
Mansur Abdul-Malik,1021.39
Sam Patterson,1021.37
Scott Ferrozzo,1021.3
Jonathan Micallef,1021.3
Jose Delgado,1021.3
Leslie Smith,1021.26
Joe Solecki,1021.26
Daniel Zellhuber,1021.26
Javier Vazquez,1021.25
Bogdan Grad,1021.25
Stephanie Luciano,1021.15
Hamdy Abdelwahab,1021.07
Bruno Lopes,1021.07
Timothy Johnson,1021.06
Aleksei Oleinik,1021.0
Tim Credeur,1020.95
Brian Stann,1020.81
Tom Duquesnoy,1020.61
Felicia Spencer,1020.59
Wang Guan,1020.57
Jesus Aguilar,1020.49
Ronnie Lawrence,1020.41
Cameron Smotherman,1020.26
Johnny Rhodes,1020.25
Abdul-Kerim Edilov,1020.16
Wilson Reis,1020.05
Yoshiki Takahashi,1020.0
Ben Earwood,1020.0
Mark Hughes,1020.0
Logan Clark,1020.0
Lyman Good,1020.0
ChangHo Lee,1020.0
Lone'er Kavanagh,1020.0
SuYoung You,1020.0
Aleksandre Topuria,1020.0
Marco Tulio,1019.98
Carlos Felipe,1019.95
Jonathan Pearce,1019.94
Brunno Ferreira,1019.94
Rei Tsuruya,1019.76
Ian Freeman,1019.74
Uros Medic,1019.69
Wanderlei Silva,1019.66
Alexander Hernandez,1019.58
Mike Kyle,1019.54
Montana De La Rosa,1019.39
Aisling Daly,1019.36
Alexis Davis,1019.31
MarQuel Mederos,1018.99
Puja Tomar,1018.85
Cody Haddon,1018.82
Tyrone Roberts,1018.78
Phil Rowe,1018.77
Navajo Stirling,1018.68
Jordan Leavitt,1018.63
Andre Roberts,1018.44
Adam Wieczorek,1018.34
Ron Waterman,1018.16
Rafael Natal,1017.94
Tyson Griffin,1017.93
Megan Anderson,1017.65
Paul Craig,1017.58
Elijah Smith,1017.58
Robert Peralta,1017.51
Sergey Morozov,1017.45
Soa Palelei,1017.37
Din Thomas,1017.35
Mizuki,1017.18
Da'Mon Blackshear,1017.15
Michael Chandler,1017.13
Rafa Garcia,1017.12
Josh Samman,1017.06
Marlon Moraes,1017.05
Piera Rodriguez,1016.86
Joanne Wood,1016.84
Augusto Sakai,1016.69
Tai Tuivasa,1016.62
Scott Holtzman,1016.61
Luis Saldana,1016.39
Cameron Saaiman,1016.38
Tyson Pedro,1016.36
Chidi Njokuani,1016.34
Josefine Knutsson,1016.3
Ovince Saint Preux,1016.18
Rogerio Nogueira,1015.98
Matt Frevola,1015.95
Kiichi Kunimoto,1015.88
Aleksei Kunchenko,1015.82
Michael Trizano,1015.77
Gavin Tucker,1015.58
Paddy Holohan,1015.36
Joselyne Edwards,1015.36
Gaston Bolanos,1015.29
Wang Cong,1015.2
Siyar Bahadurzada,1015.16
Takeya Mizugaki,1014.9
Terry Etim,1014.89
Joaquim Silva,1014.89
Ben Nguyen,1014.8
Josiane Nunes,1014.77
Mauricio Rua,1014.62
Royston Wee,1014.6
JeongYeong Lee,1014.27
Muin Gafurov,1014.22
Tim Elliott,1014.18
Rich Attonito,1014.14
Bea Malecki,1014.07
Billy Quarantillo,1013.98
Manny Bermudez,1013.41
Matt Wiman,1013.39
Elias Silverio,1013.34
Brad Riddell,1013.33
Paige VanZant,1013.14
Paul Kelly,1012.77
Roy Nelson,1012.63
Niko Price,1012.43
Gabriel Gonzaga,1012.35
Mohammed Usman,1012.12
Tatsuya Kawajiri,1011.93
Brad Blackburn,1011.76
Jake O'Brien,1011.67
Chris Daukaus,1011.36
Liz Carmouche,1011.1
Ronny Markes,1010.78
Cody Durden,1010.74
Mayra Bueno Silva,1010.14
Steven Siler,1009.84
Gabriel Santos,1009.74
Alex Garcia,1009.72
Ildemar Alcantara,1009.47
Cung Le,1009.43
Mike Perry,1009.32
Sedriques Dumas,1009.19
Keith Hackney,1009.17
Alessandro Costa,1008.78
Falaniko Vitale,1008.52
Andrei Arlovski,1008.43
Damon Jackson,1008.37
Diego Nunes,1008.22
Marcio Cruz,1008.17
Amir Sadollah,1008.02
Jack Jenkins,1008.01
Jimi Manuwa,1007.91
Nate Marquardt,1007.88
Dennis Hallman,1007.78
Gabriella Fernandes,1007.66
Gary Goodridge,1007.44
Fatima Kline,1007.36
Marc Diakiese,1007.31
